OTU,RA,SampleID,Notes,ExperimentName,Day/TimePoint,ReplicateGroup,DonorName
0;11;20,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;12;21,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;2;22,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;13;23,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;14;24,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;1;21,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;15;25,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;3;26,0,S030,,RD1,D1/T0,RD628 - 8,GH
2;16;27,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;17;28,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;8;29,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;4;30,0,S030,,RD1,D1/T0,RD628 - 8,GH
2;16;31,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;2;32,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;18;33,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;19;21,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;12;34,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;1;1,0.684181745,S001,,RD1,D1/T0,RD628 - 1,EF
0;1;1,0.566447798,S013,,RD1,D1/T0,RD628 - 4,EF
0;1;1,0.556941856,S014,,RD1,D1/T0,RD628 - 4,EF
0;3;5,0.196116557,S014,,RD1,D1/T0,RD628 - 4,EF
0;3;5,0.188323158,S013,,RD1,D1/T0,RD628 - 4,EF
0;3;3,0.126214338,S013,,RD1,D1/T0,RD628 - 4,EF
0;3;3,0.123956899,S014,,RD1,D1/T0,RD628 - 4,EF
0;3;5,0.118523978,S001,,RD1,D1/T0,RD628 - 1,EF
0;2;2,0.071970327,S001,,RD1,D1/T0,RD628 - 1,EF
0;2;2,0.069053985,S014,,RD1,D1/T0,RD628 - 4,EF
0;2;2,0.058729793,S013,,RD1,D1/T0,RD628 - 4,EF
0;3;3,0.056563399,S001,,RD1,D1/T0,RD628 - 1,EF
0;1;6,0.046054352,S001,,RD1,D1/T0,RD628 - 1,EF
0;1;6,0.038762815,S013,,RD1,D1/T0,RD628 - 4,EF
0;1;6,0.030975722,S014,,RD1,D1/T0,RD628 - 4,EF
0;1;4,0.016824651,S014,,RD1,D1/T0,RD628 - 4,EF
0;1;4,0.015052029,S013,,RD1,D1/T0,RD628 - 4,EF
0;1;4,0.014503436,S001,,RD1,D1/T0,RD628 - 1,EF
0;1;7,0.003756628,S001,,RD1,D1/T0,RD628 - 1,EF
0;4;8,0.002268492,S014,,RD1,D1/T0,RD628 - 4,EF
0;4;11,0.002073494,S013,,RD1,D1/T0,RD628 - 4,EF
0;1;7,0.002035096,S013,,RD1,D1/T0,RD628 - 4,EF
0;1;7,0.001647357,S014,,RD1,D1/T0,RD628 - 4,EF
0;4;8,0.001640553,S001,,RD1,D1/T0,RD628 - 1,EF
0;4;8,0.001631916,S013,,RD1,D1/T0,RD628 - 4,EF
0;4;11,0.00156634,S014,,RD1,D1/T0,RD628 - 4,EF
0;4;10,0.001402791,S001,,RD1,D1/T0,RD628 - 1,EF
0;4;11,0.000974821,S001,,RD1,D1/T0,RD628 - 1,EF
0;4;10,0.000729563,S013,,RD1,D1/T0,RD628 - 4,EF
0;4;10,0.000648141,S014,,RD1,D1/T0,RD628 - 4,EF
1;5;9,0.00042797,S001,,RD1,D1/T0,RD628 - 1,EF
0;6;12,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;6;13,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;4;14,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;7;15,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;8;16,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;9;17,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;2;18,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;10;19,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;11;20,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;12;21,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;2;22,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;13;23,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;14;24,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;1;21,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;15;25,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;3;26,0,S001,,RD1,D1/T0,RD628 - 1,EF
2;16;27,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;17;28,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;8;29,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;4;30,0,S001,,RD1,D1/T0,RD628 - 1,EF
2;16;31,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;2;32,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;18;33,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;19;21,0,S001,,RD1,D1/T0,RD628 - 1,EF
0;12;34,0,S001,,RD1,D1/T0,RD628 - 1,EF
1;5;9,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;6;12,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;6;13,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;4;14,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;7;15,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;8;16,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;9;17,0,S013,,RD1,D1/T0,RD628 - 4,EF
